,drug_row,drug_col,cell_line_name,drug_row_cid,drug_col_cid,synergy_zip,synergy_bliss,synergy_loewe,synergy_hsa,S,label
602,TOPOTECAN HYDROCHLORIDE,BORTEZOMIB,A549,60699,387447,-7.526303189,-4.013895958,-13.43763047,-5.10123394,-10.8765,Antagonism
603,TRETINOIN,BORTEZOMIB,A549,444795,387447,-1.590478112,-1.248328419,-24.58514416,2.340006656,-14.112,NA
604,VEMURAFENIB,BORTEZOMIB,A549,42611257,387447,-1.486341408,-6.567419431,-7.720640528,-7.879857928,-0.199,Antagonism
605,ZOLINZA,BORTEZOMIB,A549,5311,387447,0.174656238,3.727991231,-26.3831178,3.279807833,25.126,NA
606,5-FU,CELECOXIB,A549,3385,2662,2.506317263,-2.497066774,-8.081462511,-1.200607008,-5.199,NA
607,ALTRETAMINE,CELECOXIB,A549,2123,2662,-0.074141951,-0.628601262,-9.193417496,-4.769056092,1.754,Antagonism
608,AXITINIB,CELECOXIB,A549,6450551,2662,-1.398257702,1.557738317,-1.495306005,1.504924047,8.663,NA
609,CHLORAMBUCIL,CELECOXIB,A549,2708,2662,-1.245576018,-0.581536298,-3.902519092,0.130664618,3.6365,NA
610,CRIZOTINIB,CELECOXIB,A549,11626560,2662,0.959288931,6.982479134,-1.007986383,6.159767224,19.1165,NA
611,DEXRAZOXANE,CELECOXIB,A549,71384,2662,-1.347604373,-2.146754026,-5.368502059,-0.571412085,-1.5315,Antagonism
612,EXEMESTANE,CELECOXIB,A549,60198,2662,-2.722390914,-2.708054026,-7.321658238,-1.985263619,1.807,Antagonism
613,GEFITINIB,CELECOXIB,A549,123631,2662,0.519200944,1.044251608,-3.869261018,2.78453798,4.373,NA
614,LENALIDOMIDE,CELECOXIB,A549,216326,2662,-4.19330779,-4.186709872,-2.737995533,-2.689295117,-0.306,Antagonism
615,LETROZOLE,CELECOXIB,A549,3902,2662,2.942948034,0.196856052,-7.309810762,-8.053331703,4.0075,NA
616,MEGESTROL ACETATE,CELECOXIB,A549,11683,2662,-4.724672419,2.496987164,3.876962231,4.104101386,3.83,NA
617,PAZOPANIB HYDROCHLORIDE,CELECOXIB,A549,11525740,2662,1.189179041,10.42752967,8.608853631,9.514696378,12.128,Synergy
618,RUXOLITINIB,CELECOXIB,A549,25126798,2662,-4.778146417,2.921911205,1.159829097,2.32014627,13.909,NA
619,VEMURAFENIB,CELECOXIB,A549,42611257,2662,0.12474429,5.606325628,1.808002182,3.260791282,11.8135,Synergy
620,5-FU,CHLORAMBUCIL,A549,3385,2708,-0.266418528,-1.520762366,-1.990648565,4.562903048,-10.711,NA
621,ALTRETAMINE,CHLORAMBUCIL,A549,2123,2708,-2.927699584,-1.158858778,-20.68037727,-4.311165036,3.1545,Antagonism
622,AXITINIB,CHLORAMBUCIL,A549,6450551,2708,-1.604603965,-2.815074105,-2.180263038,-1.538736082,4.4045,Antagonism
623,DEXRAZOXANE,CHLORAMBUCIL,A549,71384,2708,-5.066965959,-6.034014469,-2.508288562,0.313810374,-13.708,NA
624,EXEMESTANE,CHLORAMBUCIL,A549,60198,2708,-4.754260575,-3.389771167,-5.501600322,-0.423519569,1.6535,Antagonism
625,GEFITINIB,CHLORAMBUCIL,A549,123631,2708,-1.091021085,-1.95097166,0.542259279,2.969327979,1.2565,NA
626,LENALIDOMIDE,CHLORAMBUCIL,A549,216326,2708,-6.640602531,-3.364448359,-0.866799898,-0.480051066,-2.058,Antagonism
627,MEGESTROL ACETATE,CHLORAMBUCIL,A549,11683,2708,-10.2592062,-2.108948503,-11.49747985,0.648327979,-2.5485,NA
628,PAZOPANIB HYDROCHLORIDE,CHLORAMBUCIL,A549,11525740,2708,-0.552106425,-1.308771121,-6.356989423,-1.322511693,7.342,Antagonism
629,RUXOLITINIB,CHLORAMBUCIL,A549,25126798,2708,-1.62158615,1.252752391,-1.540924241,2.247041696,5.4105,NA
630,5-FU,LETROZOLE,A549,3385,3902,1.331199604,-1.403147565,-4.458177834,-1.054940341,-2.9365,NA
631,ALTRETAMINE,LETROZOLE,A549,2123,3902,1.334952609,-0.940770949,-3.849200079,-5.096500536,-0.95,NA
632,AXITINIB,LETROZOLE,A549,6450551,3902,-2.599242559,-3.217643201,-6.308164018,-3.707075953,4.299,Antagonism
633,CHLORAMBUCIL,LETROZOLE,A549,2708,3902,-7.873906351,-5.036480126,-5.685077765,-4.892922672,4.7605,Antagonism
634,CRIZOTINIB,LETROZOLE,A549,11626560,3902,-4.19463328,4.237248259,-3.808870788,3.01782278,24.647,NA
635,DEXRAZOXANE,LETROZOLE,A549,71384,3902,-0.618870056,-2.310585278,-4.399896359,-1.831559883,-4.53,Antagonism
636,EXEMESTANE,LETROZOLE,A549,60198,3902,-1.094340933,-2.101133603,-1.641685602,-1.572218119,0.5855,Antagonism
637,GEFITINIB,LETROZOLE,A549,123631,3902,1.022949299,-0.320076128,-5.459077948,0.249059659,3.8425,NA
638,LENALIDOMIDE,LETROZOLE,A549,216326,3902,-2.972379344,0.330958165,0.721626101,1.020781881,1.7425,NA
639,MEGESTROL ACETATE,LETROZOLE,A549,11683,3902,-3.578479058,-2.242330006,-3.230850837,-1.701533783,-4.802,Antagonism
640,PAZOPANIB HYDROCHLORIDE,LETROZOLE,A549,11525740,3902,0.133031655,1.666591432,1.95673109,0.87145557,3.072,Synergy
641,RUXOLITINIB,LETROZOLE,A549,25126798,3902,-3.255683942,-0.6304711,-3.913143828,-1.696232776,4.27,Antagonism
642,VEMURAFENIB,LETROZOLE,A549,42611257,3902,0.515875375,-0.222875233,-3.685350125,-2.67967722,5.651,NA
643,5-FU,THIOTEPA,A549,3385,5453,-2.455741756,-2.789011819,0.735544509,3.349815757,-11.2765,NA
644,ALTRETAMINE,THIOTEPA,A549,2123,5453,-5.377649355,1.475301526,-40.68597606,-1.791220592,18.8685,NA
645,AXITINIB,THIOTEPA,A549,6450551,5453,-10.83850269,-7.234472423,-6.176896435,-5.589918955,6.052,Antagonism
646,CELECOXIB,THIOTEPA,A549,2662,5453,-5.516757456,-3.89088394,-5.730594412,-0.774583456,6.332,Antagonism
647,CHLORAMBUCIL,THIOTEPA,A549,2708,5453,-9.436900527,-3.231071178,-6.780965464,0.840797557,4.7,NA
648,CRIZOTINIB,THIOTEPA,A549,11626560,5453,-11.82660189,-6.44974217,-5.261932902,-4.629013859,17.206,Antagonism
649,DEXRAZOXANE,THIOTEPA,A549,71384,5453,-6.409721876,-2.669471868,2.132383755,4.263134444,-4.8905,NA
650,EXEMESTANE,THIOTEPA,A549,60198,5453,-7.136425231,-0.07199112,-6.903155821,2.905591542,-3.1865,NA
651,GEFITINIB,THIOTEPA,A549,123631,5453,-1.759159141,1.398070834,3.513438927,7.442383535,8.704,NA
652,LENALIDOMIDE,THIOTEPA,A549,216326,5453,-2.836769664,3.044240547,-0.245888913,6.449117767,15.3885,NA
653,LETROZOLE,THIOTEPA,A549,3902,5453,-13.33948281,-7.953094913,-9.325696707,-8.166666411,6.521,Antagonism
654,MEGESTROL ACETATE,THIOTEPA,A549,11683,5453,-10.48682467,0.83861977,-23.72851109,4.277272423,8.815,NA
655,PAZOPANIB HYDROCHLORIDE,THIOTEPA,A549,11525740,5453,-7.558376674,-7.821666944,-22.60017066,-7.658678359,2.2075,Antagonism
656,RUXOLITINIB,THIOTEPA,A549,25126798,5453,-8.873893923,-4.239611988,-12.69074365,-2.8483634,16.762,Antagonism
657,VEMURAFENIB,THIOTEPA,A549,42611257,5453,-9.977297447,-6.014809121,-10.4408423,-7.046472344,13.355,Antagonism
658,5-FU,CRIZOTINIB,A549,3385,11626560,2.981321943,1.282972678,4.149123767,4.671976212,-0.31325,Synergy
659,ALTRETAMINE,CRIZOTINIB,A549,2123,11626560,-3.185824887,0.036497194,-26.93240316,-3.942775294,14.88825,NA
660,AXITINIB,CRIZOTINIB,A549,6450551,11626560,-2.587504073,5.269593723,3.389104881,5.126754657,23.21925,NA
661,CHLORAMBUCIL,CRIZOTINIB,A549,2708,11626560,-5.65051682,-2.521231594,-2.17088029,-1.270591288,9.3555,Antagonism
662,5-FU,VEMURAFENIB,A549,3385,42611257,6.258780391,3.146719767,-1.930208734,2.786446497,3.2105,NA
663,ALTRETAMINE,VEMURAFENIB,A549,2123,42611257,1.604949503,3.343465842,-10.24402419,-1.744997516,5.8985,NA
664,AXITINIB,VEMURAFENIB,A549,6450551,42611257,-2.550801657,3.059573241,0.247867663,2.252413221,10.18325,NA
665,CHLORAMBUCIL,VEMURAFENIB,A549,2708,42611257,-1.808939167,-0.508952237,-4.533136701,-1.59924496,6.2195,Antagonism
666,CRIZOTINIB,VEMURAFENIB,A549,11626560,42611257,-2.58124381,0.901503172,-4.632065177,-0.633081858,17.02475,NA
667,DEXRAZOXANE,VEMURAFENIB,A549,71384,42611257,1.093170659,1.035285266,-1.487585559,0.539661103,1.45525,NA
668,EXEMESTANE,VEMURAFENIB,A549,60198,42611257,2.247101416,1.169387665,-1.368226528,0.353797602,2.749,NA
669,GEFITINIB,VEMURAFENIB,A549,123631,42611257,2.319654598,2.419193022,-1.565882259,1.8303362,5.94125,NA
670,LENALIDOMIDE,VEMURAFENIB,A549,216326,42611257,-2.812060896,-0.104270645,-1.482467532,-0.817997265,3.298,Antagonism
671,MEGESTROL ACETATE,VEMURAFENIB,A549,11683,42611257,-2.522510261,4.105929093,-1.836090694,3.035699484,2.103,NA
672,PAZOPANIB HYDROCHLORIDE,VEMURAFENIB,A549,11525740,42611257,7.247656289,11.31835592,6.628385868,9.733071796,26.11775,Synergy
673,RUXOLITINIB,VEMURAFENIB,A549,25126798,42611257,-1.231767478,0.232482662,-1.560281865,-1.132165192,10.835,NA
674,AXITINIB,5-FU,A549,6450551,3385,3.74679585,0.837632008,1.696936466,3.171055556,1.678,Synergy
675,DEXRAZOXANE,5-FU,A549,71384,3385,-2.631370462,-4.023179853,4.621886391,6.240375556,-26.5405,NA
676,EXEMESTANE,5-FU,A549,60198,3385,2.150352153,-0.265358804,2.350604682,4.671801111,-17.4575,NA
677,GEFITINIB,5-FU,A549,123631,3385,-1.985253828,-2.165130846,3.875096087,6.250211111,-17.2335,NA
678,LENALIDOMIDE,5-FU,A549,216326,3385,-0.191496598,-0.841245168,-8.797009293,2.179055556,-5.2755,NA
679,MEGESTROL ACETATE,5-FU,A549,11683,3385,4.40688859,3.638146436,-4.051120404,6.924944444,-1.026,NA
680,PAZOPANIB HYDROCHLORIDE,5-FU,A549,11525740,3385,4.110195615,-0.139452687,-6.738012362,0.142944222,-1.581,NA
681,RUXOLITINIB,5-FU,A549,25126798,3385,3.320664854,0.946115734,-1.765016796,3.867803333,1.779,NA
682,AXITINIB,DEXRAZOXANE,A549,6450551,71384,-0.114066804,0.543707078,2.541304327,2.916410924,4.5935,NA
683,CRIZOTINIB,DEXRAZOXANE,A549,11626560,71384,-3.493418365,-0.442363788,2.925749014,3.345582753,4.53675,NA
684,EXEMESTANE,DEXRAZOXANE,A549,60198,71384,-2.122808662,-2.172752469,0.466287618,2.144940255,-21.429,NA
685,GEFITINIB,DEXRAZOXANE,A549,123631,71384,-1.129618876,-1.733243897,6.316999949,7.776429916,-12.5205,NA
686,LENALIDOMIDE,DEXRAZOXANE,A549,216326,71384,-2.085660985,-1.500778767,0.149263634,2.590522035,-7.5605,NA
687,PAZOPANIB HYDROCHLORIDE,DEXRAZOXANE,A549,11525740,71384,0.160062229,-0.077608264,-5.362707001,0.310882089,-1.4925,NA
688,RUXOLITINIB,DEXRAZOXANE,A549,25126798,71384,0.238938552,1.160970102,0.325471327,3.864744257,6.2075,Synergy
689,AXITINIB,EXEMESTANE,A549,6450551,60198,0.002580764,-1.53233522,-1.273621194,-0.550807844,7.4985,NA
690,CRIZOTINIB,EXEMESTANE,A549,11626560,60198,-1.346926572,-0.365245295,-3.231658426,0.390464268,3.8235,NA
691,GEFITINIB,EXEMESTANE,A549,123631,60198,-2.299837239,-3.533958605,-1.326190075,0.13487155,-1.3215,NA
692,LENALIDOMIDE,EXEMESTANE,A549,216326,60198,-0.946031945,-1.642656459,0.777415113,1.156315994,-8.1585,NA
693,PAZOPANIB HYDROCHLORIDE,EXEMESTANE,A549,11525740,60198,1.806513086,-0.892340375,-18.51213479,-0.492250122,1.711,NA
694,RUXOLITINIB,EXEMESTANE,A549,25126798,60198,-1.192588881,0.378324426,-11.46157571,0.958525489,8.4935,NA
695,AXITINIB,GEFITINIB,A549,6450551,123631,3.20185473,4.035810679,4.997524685,6.841805433,9.799,Synergy
696,CRIZOTINIB,GEFITINIB,A549,11626560,123631,-0.136076159,4.726573497,7.914386534,8.336019825,13.40775,NA
697,LENALIDOMIDE,GEFITINIB,A549,216326,123631,-5.693920227,-7.375205004,-7.587458708,-2.672861233,-6.275,Antagonism
698,PAZOPANIB HYDROCHLORIDE,GEFITINIB,A549,11525740,123631,7.262632436,7.510820744,-1.223021626,7.972390519,11.7805,NA
699,RUXOLITINIB,GEFITINIB,A549,25126798,123631,3.219631144,4.573867011,2.726737811,7.848914378,8.5235,Synergy
700,AXITINIB,LENALIDOMIDE,A549,6450551,216326,-4.418571852,-3.067113986,-1.45390242,-1.403056278,3.33,Antagonism
701,CRIZOTINIB,LENALIDOMIDE,A549,11626560,216326,-6.689680512,-0.139188162,0.32316543,0.388741553,12.54475,NA
702,PAZOPANIB HYDROCHLORIDE,LENALIDOMIDE,A549,11525740,216326,-3.52229675,-5.67300163,-5.671150092,-5.113554178,-2.485,Antagonism
703,RUXOLITINIB,LENALIDOMIDE,A549,25126798,216326,-6.174070179,-3.17375149,-2.474227544,-2.374833467,1.2075,Antagonism
704,AXITINIB,MEGESTROL ACETATE,A549,6450551,11683,1.54996187,7.82762901,6.736080009,9.651834764,10.501,Synergy
705,CRIZOTINIB,MEGESTROL ACETATE,A549,11626560,11683,-3.615153447,0.392932362,-10.00137881,1.051075379,8.1955,NA
706,DEXRAZOXANE,MEGESTROL ACETATE,A549,71384,11683,-0.862771381,0.967208061,-3.779524977,5.088047154,-4.3205,NA
707,EXEMESTANE,MEGESTROL ACETATE,A549,60198,11683,-0.443447931,-1.779325745,-24.19791518,0.629258209,7.8495,NA
708,GEFITINIB,MEGESTROL ACETATE,A549,123631,11683,-1.082063097,-0.663267444,-7.420128829,3.966994409,-5.975,NA
709,LENALIDOMIDE,MEGESTROL ACETATE,A549,216326,11683,-4.914895044,0.041631483,4.210213956,4.458117767,-2.733,NA
710,PAZOPANIB HYDROCHLORIDE,MEGESTROL ACETATE,A549,11525740,11683,6.796721448,11.11681371,9.541951742,11.47832164,7.649,Synergy
711,RUXOLITINIB,MEGESTROL ACETATE,A549,25126798,11683,4.203308548,6.30521604,2.444763403,7.253945875,8.7445,Synergy
712,AXITINIB,PAZOPANIB HYDROCHLORIDE,A549,6450551,11525740,-0.56952804,4.200805953,-2.153787919,3.479810213,9.55825,NA
713,CRIZOTINIB,PAZOPANIB HYDROCHLORIDE,A549,11626560,11525740,-4.539989518,4.252132383,-10.98856749,2.904699102,11.81,NA
714,AXITINIB,RUXOLITINIB,A549,6450551,25126798,-4.381390852,3.414935559,2.076890215,3.62808799,14.1515,NA
715,CRIZOTINIB,RUXOLITINIB,A549,11626560,25126798,-1.121400977,2.538144167,-1.320452193,2.569087991,18.86525,NA
716,PAZOPANIB HYDROCHLORIDE,RUXOLITINIB,A549,11525740,25126798,-0.259286762,4.480201275,-0.768547551,3.249587991,14.70775,NA
717,ABT-888,BEZ-235,HCT116,11960529,11977753,1.746113938,0.726239637,-68.96595867,1.904638344,22.812125,NA
718,AZD1775,BEZ-235,HCT116,24856436,11977753,9.920356961,9.390979612,7.235170469,13.00361503,43.037625,Synergy
719,BORTEZOMIB,BEZ-235,HCT116,387447,11977753,0.135587607,0.224892235,-2.051569437,1.419122191,2.991875,NA
720,MK-2206,BEZ-235,HCT116,24964624,11977753,7.180654896,4.889227513,-0.830718634,6.70055605,32.50325,NA
721,TEMOZOLOMIDE,BEZ-235,HCT116,5394,11977753,2.297734698,0.012915821,-81.55787469,-1.831252281,23.659,NA
722,ZOLINZA,BEZ-235,HCT116,5311,11977753,2.939784993,2.261976909,0.611685387,6.041877026,31.595375,Synergy
723,AZD1775,ABT-888,HCT116,24856436,11960529,-4.55953988,-6.588352104,-61.95986899,-5.489939817,8.131875,Antagonism
724,BORTEZOMIB,ABT-888,HCT116,387447,11960529,1.389879753,0.422754458,-49.16836482,1.167151107,-6.30775,NA
725,MK-2206,ABT-888,HCT116,24964624,11960529,-1.383455481,-0.868998806,-4.095875602,0.232769191,2.301875,NA
726,TEMOZOLOMIDE,ABT-888,HCT116,5394,11960529,12.70574026,12.11987998,10.9061942,9.840956094,11.30325,Synergy
727,ZOLINZA,ABT-888,HCT116,5311,11960529,1.255128164,1.765514438,-37.78073383,2.705690357,15.0185,NA
728,AZD1775,BORTEZOMIB,HCT116,24856436,387447,-0.484653988,-1.640420361,-5.056739996,-0.714296393,-2.0855,Antagonism
729,IMIQUIMOD,BORTEZOMIB,HCT116,57469,387447,-4.241476355,-13.02735096,-33.20923853,-17.3844445,-24.5335,Antagonism
730,LENALIDOMIDE,BORTEZOMIB,HCT116,216326,387447,-2.224461306,-1.323731128,1.447660419,1.357170328,-0.14,NA
731,MK-2206,BORTEZOMIB,HCT116,24964624,387447,0.41166373,-1.330092706,-2.780108224,-0.577536872,0.998625,NA
732,TEMOZOLOMIDE,BORTEZOMIB,HCT116,5394,387447,1.844064974,-0.402813829,-51.90376733,-1.567718906,-14.321375,NA
733,VEMURAFENIB,BORTEZOMIB,HCT116,42611257,387447,-0.162571333,2.365735669,-6.642299112,0.640390519,6.432,NA
734,ZOLINZA,BORTEZOMIB,HCT116,5311,387447,2.740859603,2.9043204,0.390471604,4.270048355,-1.57,Synergy
735,AZD1775,MK-2206,HCT116,24856436,24964624,2.552503347,2.530012405,2.927719663,4.092333164,27.4945,Synergy
736,TEMOZOLOMIDE,MK-2206,HCT116,5394,24964624,1.178044839,1.050786116,-19.98968059,-1.199473406,2.491875,NA
737,ZOLINZA,MK-2206,HCT116,5311,24964624,6.272795799,3.843019605,-1.779643761,5.192483986,29.487125,NA
738,LENALIDOMIDE,IMIQUIMOD,HCT116,216326,57469,-0.853514404,3.145779248,2.421698847,2.497448889,2.726,NA
739,TEMOZOLOMIDE,IMIQUIMOD,HCT116,5394,57469,-0.24352527,2.945017844,2.92359304,2.336448548,6.585,NA
740,THALIDOMIDE,IMIQUIMOD,HCT116,5426,57469,6.824097637,9.56359382,-4.017507303,-2.901256005,9.615,NA
741,VEMURAFENIB,IMIQUIMOD,HCT116,42611257,57469,1.158267156,-1.444913609,-3.496334543,-3.896306322,0.7595,NA
742,ZOLINZA,IMIQUIMOD,HCT116,5311,57469,2.940029238,5.108701593,8.509420981,6.990581333,18.718,Synergy
743,LENALIDOMIDE,TEMOZOLOMIDE,HCT116,216326,5394,0.222305911,3.120714204,1.45518812,2.044226326,5.83,Synergy
744,VEMURAFENIB,TEMOZOLOMIDE,HCT116,42611257,5394,2.65854716,-0.758222743,-2.381888908,-3.780014899,0.1975,NA
745,LENALIDOMIDE,THALIDOMIDE,HCT116,216326,5426,-1.777462653,-11.47542515,-11.36193478,-11.05767877,-5.749,Antagonism
746,TEMOZOLOMIDE,THALIDOMIDE,HCT116,5394,5426,9.054646047,12.83622482,6.120198104,4.851083088,11.971,Synergy
747,VEMURAFENIB,THALIDOMIDE,HCT116,42611257,5426,7.45822395,8.169986392,7.550838067,5.857209173,3.039,Synergy
748,ZOLINZA,THALIDOMIDE,HCT116,5311,5426,-0.416189398,3.722523215,-16.52730411,-0.231639334,23.3925,NA
749,LENALIDOMIDE,ZOLINZA,HCT116,216326,5311,-10.50456764,-3.379004161,-1.369566957,-1.627496339,22.615,Antagonism
750,TEMOZOLOMIDE,ZOLINZA,HCT116,5394,5311,0.888090457,0.305522544,-52.83680189,-3.069872765,11.858375,NA
751,VEMURAFENIB,ZOLINZA,HCT116,42611257,5311,-8.818965868,-7.928342356,-25.96351572,-9.402167203,24.525,Antagonism
752,LENALIDOMIDE,VEMURAFENIB,HCT116,216326,42611257,-0.968153349,-2.218254827,-4.204155739,-3.947719593,-3.8205,Antagonism
753,TEMOZOLOMIDE,AZD1775,HCT116,5394,24856436,1.232299782,0.105282927,-90.69043719,-1.947444156,15.637625,NA
754,ZOLINZA,AZD1775,HCT116,5311,24856436,6.582291656,5.650063292,1.83826221,8.507062853,36.84225,Synergy
755,CRIZOTINIB,DASATINIB,HS 578T,11626560,3062316,3.30277722,2.695011621,-20.38011585,-2.470220592,13.6765,NA
756,GEFITINIB,DASATINIB,HS 578T,123631,3062316,2.580579795,6.677281231,4.557017157,7.726179822,-1.824,Synergy
757,NILOTINIB,DASATINIB,HS 578T,644241,3062316,2.610117308,9.255638477,-6.820545155,-0.078887259,12.672,NA
758,PAZOPANIB HYDROCHLORIDE,DASATINIB,HS 578T,11525740,3062316,-2.894061802,2.651468879,-36.97751519,0.42913109,7.709,NA
759,RUXOLITINIB,DASATINIB,HS 578T,25126798,3062316,2.003374767,8.238241422,-34.87895963,2.660779408,20.7455,NA
760,VEMURAFENIB,DASATINIB,HS 578T,42611257,3062316,-1.162575014,3.110326746,-34.27868938,-2.910220592,11.355,NA
761,CRIZOTINIB,ERLOTINIB HYDROCHLORIDE,HS 578T,11626560,176871,6.963497046,12.34273816,6.268021514,6.737223853,13.2865,Synergy
762,DASATINIB,ERLOTINIB HYDROCHLORIDE,HS 578T,3062316,176871,0.015952404,1.451239502,3.596920212,1.870892992,5.0855,Synergy
763,GEFITINIB,ERLOTINIB HYDROCHLORIDE,HS 578T,123631,176871,1.88259113,4.439031852,0.238499097,4.02767077,10.9225,Synergy
764,LAPATINIB,ERLOTINIB HYDROCHLORIDE,HS 578T,208908,176871,2.280631043,2.338117822,-2.271631453,-2.072220592,1.671,NA
765,NILOTINIB,ERLOTINIB HYDROCHLORIDE,HS 578T,644241,176871,-0.200301385,-1.839525258,-1.838711485,-1.947805801,-1.9355,Antagonism
766,PAZOPANIB HYDROCHLORIDE,ERLOTINIB HYDROCHLORIDE,HS 578T,11525740,176871,10.73465819,16.66633297,13.57946943,13.5039784,28.108,Synergy
767,RUXOLITINIB,ERLOTINIB HYDROCHLORIDE,HS 578T,25126798,176871,2.323424957,8.210550687,1.338136098,2.157668297,10.535,Synergy
768,VEMURAFENIB,ERLOTINIB HYDROCHLORIDE,HS 578T,42611257,176871,4.003615317,15.11473774,7.974886558,8.58100163,20.3965,Synergy
769,CRIZOTINIB,LAPATINIB,HS 578T,11626560,208908,3.777326481,5.581746856,-1.740950911,-0.723807844,9.382,NA
770,DASATINIB,LAPATINIB,HS 578T,3062316,208908,-1.06353477,7.505755007,3.937531961,6.042964224,8.6345,NA
771,GEFITINIB,LAPATINIB,HS 578T,123631,208908,-1.107188058,4.307538495,-2.957834237,0.831337437,12.4155,NA
772,NILOTINIB,LAPATINIB,HS 578T,644241,208908,3.125771574,0.625115041,-10.75460686,-9.413331703,0.0265,NA
773,PAZOPANIB HYDROCHLORIDE,LAPATINIB,HS 578T,11525740,208908,4.251262445,8.755110101,3.198931867,3.944129578,19.101,Synergy
774,RUXOLITINIB,LAPATINIB,HS 578T,25126798,208908,3.7019745,6.718608163,-0.915798819,0.141416544,11.6325,NA
775,VEMURAFENIB,LAPATINIB,HS 578T,42611257,208908,5.327736921,5.57731205,-2.856370788,-1.460639011,10.984,NA
776,CRIZOTINIB,NILOTINIB,HS 578T,11626560,644241,7.517059678,16.54822596,9.385245193,10.02483476,12.4075,Synergy
777,GEFITINIB,NILOTINIB,HS 578T,123631,644241,1.324145954,2.536737349,-2.449997478,-1.748551452,10.354,NA
778,PAZOPANIB HYDROCHLORIDE,NILOTINIB,HS 578T,11525740,644241,5.128456909,6.106393177,0.890955298,0.97072427,7.2075,Synergy
779,RUXOLITINIB,NILOTINIB,HS 578T,25126798,644241,11.46916685,12.212756,5.466057944,5.477781375,1.9645,Synergy
780,VEMURAFENIB,NILOTINIB,HS 578T,42611257,644241,5.160298801,6.379983722,-0.797650494,-0.783663069,6.1195,NA
781,CRIZOTINIB,GEFITINIB,HS 578T,11626560,123631,2.254360338,11.84824493,5.934336638,6.824336202,14.255,Synergy
782,PAZOPANIB HYDROCHLORIDE,GEFITINIB,HS 578T,11525740,123631,10.15475689,17.92682405,10.04073611,15.8646029,26.3315,Synergy
783,RUXOLITINIB,GEFITINIB,HS 578T,25126798,123631,4.91191956,13.03298336,1.754180556,7.608223853,15.759,Synergy
784,CRIZOTINIB,PAZOPANIB HYDROCHLORIDE,HS 578T,11626560,11525740,4.430083571,8.287471226,0.934796242,2.187477262,7.11025,Synergy
785,CRIZOTINIB,RUXOLITINIB,HS 578T,11626560,25126798,4.396777886,6.554637963,-2.487076631,-0.608937232,10.91475,NA
786,PAZOPANIB HYDROCHLORIDE,RUXOLITINIB,HS 578T,11525740,25126798,6.304437453,12.14580075,5.769957984,5.779588374,9.98825,Synergy
787,CRIZOTINIB,VEMURAFENIB,HS 578T,11626560,42611257,6.030132005,3.091402332,-8.276341674,-6.190946512,5.75525,NA
788,GEFITINIB,VEMURAFENIB,HS 578T,123631,42611257,3.811717642,10.61764179,-0.413385431,4.761836201,11.33525,NA
789,PAZOPANIB HYDROCHLORIDE,VEMURAFENIB,HS 578T,11525740,42611257,12.02900875,17.88404945,8.825288625,9.342244093,23.8975,Synergy
790,RUXOLITINIB,VEMURAFENIB,HS 578T,25126798,42611257,8.675045815,11.0029326,-1.46733461,-0.104918513,7.8895,NA
791,5-FLUORO-2'-DEOXYURIDINE,ALLOPURINOL,HT29,3363,2094,1.503437009,1.159861498,-17.14653236,0.337649178,5.164,NA
792,5-FU,ALLOPURINOL,HT29,3385,2094,-3.065600993,-7.493427559,-27.55263521,-8.686773674,-13.9725,Antagonism
793,ALTRETAMINE,ALLOPURINOL,HT29,2123,2094,3.393063919,7.793738162,-0.531630654,1.064307489,8.264,NA
794,ANASTROZOLE,ALLOPURINOL,HT29,2187,2094,-2.211056899,-7.360828161,-5.051904429,-6.778889574,-4.2375,Antagonism
795,AXITINIB,ALLOPURINOL,HT29,6450551,2094,0.760806703,1.248144666,-5.373898547,-3.228017339,7.454,NA
796,BUSULFAN,ALLOPURINOL,HT29,2478,2094,-2.286734025,-3.300980937,-2.098675771,-2.9279355,-0.6045,Antagonism
797,CELECOXIB,ALLOPURINOL,HT29,2662,2094,2.83315473,1.909417671,0.679689773,-2.24669469,5.205,NA
798,CHEMBL277800,ALLOPURINOL,HT29,354624,2094,1.522780026,1.674368526,-1.054785624,-1.402250245,0.025,NA
799,CHLORAMBUCIL,ALLOPURINOL,HT29,2708,2094,-6.101992353,2.177688256,-13.08713668,-0.884401163,1.3725,NA
800,CRIZOTINIB,ALLOPURINOL,HT29,11626560,2094,-1.021857635,0.858174424,-7.05926506,-3.302930286,10.7135,NA
801,DASATINIB,ALLOPURINOL,HT29,3062316,2094,2.546799142,3.145600068,-14.12509095,1.671944326,3.33,NA
802,DEXRAZOXANE,ALLOPURINOL,HT29,71384,2094,-6.232737585,4.183293185,-15.01090185,1.99103798,19.188,NA
803,EXEMESTANE,ALLOPURINOL,HT29,60198,2094,1.468367212,5.736467822,-38.64595649,3.452593535,-5.7305,NA
804,GEFITINIB,ALLOPURINOL,HT29,123631,2094,7.975011492,8.177348725,-4.640575532,5.838091394,23.3725,NA
805,LAPATINIB,ALLOPURINOL,HT29,208908,2094,-0.350882229,2.683700896,0.223394754,1.3964488,5.699,NA
806,LENALIDOMIDE,ALLOPURINOL,HT29,216326,2094,4.224425965,6.988187031,5.29658317,4.343115452,8.926,Synergy
807,LETROZOLE,ALLOPURINOL,HT29,3902,2094,0.806584306,-1.805805109,1.743765594,-4.467804589,-1.309,NA
